ts,tps,cum_tps,r_iops,w_iops,hit_ratio,hit_ratio_gc,edt_gap,rmb_s,wmb_s,ewmb_s,cpwmb_s,dwbw_mb,gcwmb_s,gcrmb_s,valid_ratio,comp_ratio,logmb_s,wal_sz,db_sz,alloc_sz,mem_mb,cum_flash_wmb,db_waf,ssd_run_waf,ssd_cum_waf,version
60,108319,4956593,65528,130608,0.898,0.000,0,255.969,510.188,255.609,0.000,254.578,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,61397.223,2.000,1.960,1.998,0
61,109606,5066199,65522,129265,0.899,0.000,0,255.945,504.941,250.262,0.000,254.680,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,62422.766,2.000,2.031,1.999,0
62,110963,5177162,65493,127114,0.900,0.000,0,255.832,496.539,246.984,0.000,249.555,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,63384.281,2.000,1.936,1.998,0
63,105263,5282425,61925,127340,0.900,0.000,0,241.895,497.422,254.336,0.000,243.086,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,64394.512,2.000,2.031,1.998,0
64,111463,5393888,65014,126866,0.901,0.000,0,253.961,495.570,241.043,0.000,254.527,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,65388.586,2.000,2.006,1.998,0
65,112688,5506576,65501,128964,0.902,0.000,0,255.863,503.766,252.059,0.000,251.707,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,66397.156,2.000,2.002,1.998,0
66,112795,5619371,65524,132455,0.902,0.000,0,255.953,517.402,259.965,0.000,257.438,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,67410.984,2.000,1.959,1.998,0
67,114080,5733451,65503,130272,0.903,0.000,0,255.871,508.875,254.688,0.000,254.188,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,68427.172,2.000,1.997,1.998,0
68,114890,5848341,65507,125689,0.903,0.000,0,255.887,490.973,248.488,0.000,242.484,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,69418.477,2.000,2.019,1.998,0
69,107821,5956162,61426,126099,0.903,0.000,0,239.945,492.574,242.023,0.000,250.551,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,70404.836,2.000,2.002,1.998,0
70,115505,6071667,65503,127411,0.904,0.000,0,255.871,497.699,250.996,0.000,246.703,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,71405.688,2.000,2.011,1.998,0
71,109845,6181512,61673,128124,0.905,0.000,0,240.914,500.484,254.410,0.000,246.074,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,72426.641,2.000,2.040,1.999,0
72,121185,6302697,67970,130106,0.905,0.000,0,265.504,508.227,254.113,0.000,254.113,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,73455.492,2.000,2.024,1.999,0
73,114636,6417333,63932,130046,0.905,0.000,0,249.734,507.992,253.996,0.000,253.996,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,74449.250,2.000,1.956,1.999,0
74,118795,6536128,65870,130188,0.906,0.000,0,257.305,508.547,254.273,0.000,254.273,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110418.836,75443.719,2.000,1.956,1.998,0
75,115942,6652070,64023,125212,0.906,0.000,0,250.090,489.109,238.797,0.000,250.312,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110421.836,76427.594,2.000,2.012,1.998,0
76,114593,6766663,63166,127184,0.906,0.000,0,246.742,496.812,254.164,0.000,242.648,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110424.836,77434.016,2.000,2.026,1.999,0
77,116619,6883282,63780,128772,0.907,0.000,0,249.141,503.016,248.672,0.000,254.344,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110426.336,78440.430,2.000,2.001,1.999,0
78,121184,7004466,66311,131618,0.907,0.000,0,259.027,514.133,259.902,0.000,254.230,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110426.336,79473.844,2.000,2.010,1.999,0
79,118897,7123363,64728,127805,0.907,0.000,0,252.844,499.238,245.594,0.000,253.641,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110426.336,80449.922,2.000,1.955,1.998,0
80,121179,7244542,65505,129393,0.908,0.000,0,255.879,505.441,251.520,0.000,253.926,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110426.336,81458.234,2.000,1.995,1.998,0
81,121924,7366466,65513,125122,0.908,0.000,0,255.910,488.758,248.750,0.000,240.008,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110426.336,82451.578,2.000,2.032,1.999,0
82,114109,7480575,61410,127417,0.908,0.000,0,239.883,497.723,245.602,0.000,252.121,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110426.336,83443.273,2.000,1.992,1.999,0
83,122175,7602750,65489,127352,0.908,0.000,0,255.816,497.469,246.375,0.000,251.094,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110429.336,84447.438,2.000,2.019,1.999,0
84,123388,7726138,65506,130229,0.909,0.000,0,255.883,508.707,253.703,0.000,255.004,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110429.336,85477.109,2.000,2.024,1.999,0
85,123182,7849320,65502,129611,0.909,0.000,0,255.867,506.293,253.371,0.000,252.922,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,86474.875,2.000,1.971,1.999,0
86,123972,7973292,65518,127929,0.910,0.000,0,255.930,499.723,254.273,0.000,245.449,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,87482.625,2.000,2.017,1.999,0
87,120480,8093772,63501,128796,0.910,0.000,0,248.051,503.109,254.043,0.000,249.066,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,88472.062,2.000,1.967,1.999,0
88,121393,8215165,63450,127316,0.910,0.000,0,247.852,497.328,243.680,0.000,253.648,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,89470.047,2.000,2.007,1.999,0
89,125454,8340619,65483,127621,0.911,0.000,0,255.793,498.520,247.691,0.000,250.828,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,90474.578,2.000,2.015,1.999,0
90,125829,8466448,65514,130696,0.911,0.000,0,255.914,510.531,254.258,0.000,256.273,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,91505.398,2.000,2.019,1.999,0
91,125734,8592182,65509,128856,0.911,0.000,0,255.895,503.344,253.738,0.000,249.605,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,92487.539,2.000,1.951,1.999,0
92,126432,8718614,65487,128481,0.911,0.000,0,255.809,501.879,253.391,0.000,248.488,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,93489.688,2.000,1.997,1.999,0
93,119066,8837680,61427,127806,0.912,0.000,0,239.949,499.242,251.070,0.000,248.172,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,94489.109,2.000,2.002,1.999,0
94,126785,8964465,65492,125066,0.912,0.000,0,255.828,488.539,241.180,0.000,247.359,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110430.836,95479.766,2.000,2.028,1.999,0
95,127349,9091814,65318,127448,0.912,0.000,0,255.152,497.844,253.605,0.000,244.238,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110432.336,96490.711,2.000,2.031,1.999,0
96,126613,9218427,64890,130170,0.912,0.000,0,253.473,508.477,254.238,0.000,254.238,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110433.836,97520.375,2.000,2.025,2.000,0
97,130285,9348712,66297,131416,0.913,0.000,0,258.973,513.344,253.180,0.000,260.164,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,98520.797,2.000,1.949,1.999,0
98,127919,9476631,65289,127976,0.913,0.000,0,255.035,499.906,253.445,0.000,246.461,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,99541.648,2.000,2.042,1.999,0
99,120263,9596894,61636,128523,0.912,0.000,0,240.766,502.043,247.879,0.000,254.164,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,100511.367,2.000,1.932,1.999,0
100,129139,9726033,65526,124738,0.913,0.000,0,255.961,487.258,244.559,0.000,242.699,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,101497.305,2.000,2.023,1.999,0
101,123399,9849432,62272,128783,0.913,0.000,0,243.250,503.059,253.742,0.000,249.316,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,102517.062,2.000,2.027,1.999,0
102,128679,9978111,64641,128437,0.914,0.000,0,252.504,501.707,248.488,0.000,253.219,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,103522.641,2.000,2.004,1.999,0
103,137409,10115520,69302,130841,0.913,0.000,0,270.711,511.098,257.914,0.000,253.184,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,104533.781,2.000,1.978,1.999,0
104,126504,10242024,63543,129672,0.914,0.000,0,248.215,506.531,253.266,0.000,253.266,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110435.336,105540.352,2.000,1.987,1.999,0
